url,category_code,category_description,date_added,source,notes
http://www.evz.ro,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.flor.cc,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.forum.md,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.gazetasng.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.host.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.hr.un.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ifes.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.ilove.md,DATE,Dating,2014-04-15,citizenlab,
http://www.info-prim.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.infotag.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ipp.md,POLT,Political transformation,2014-04-15,citizenlab,
http://www.italiamoldova.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.izvestia.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.jurnal.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.jurnalul.ro,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.km.press.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kp.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.labordei.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.lenta.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.lhr.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.liveinternet.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.mail.md,EMAIL,Free email,2014-04-15,citizenlab,
http://www.masonforum.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.mediafax.ro,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mepmr.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.minzdravpmr.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.mobil.ru,COMM,E-commerce,2014-04-15,citizenlab,
http://www.moldcell.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.moldmmm.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.moldova.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.moldovacrestina.net/category/computer/blogging/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.moldovajob.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.moldovenii.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.muligambia.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.music.md/mp3.php,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.newsmoldova.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ng.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nolimits-team.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.odnoklassniki.ru,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.ombudsman.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.orange.md,COMM,E-commerce,2014-04-15,citizenlab,
http://www.osce.org/moldova,HUMR,Human rights,2014-04-15,citizenlab,
http://www.pan.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.pavlicenco.md,POLT,Political transformation,2014-04-15,citizenlab,
http://www.photo.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.pnl.md,POLT,Political transformation,2014-04-15,citizenlab,
http://www.precept.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.pro-science.asm.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.progen.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.protv.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.publika.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.radiomayak.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.regions.md,POLT,Political transformation,2014-04-15,citizenlab,
http://www.romania.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.romedicenter.net,DATE,Dating,2014-04-15,citizenlab,
http://www.russ.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.sdarm.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.sitelove.info,DATE,Dating,2014-04-15,citizenlab,
http://www.soros.md,POLR,Political reform,2014-04-15,citizenlab,
http://www.stiri.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.timpul.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tiraspol.ru,POLT,Political transformation,2014-04-15,citizenlab,
http://www.tophost.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.torrentsmd.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.transparency.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.tv7.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.un.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.vedomosti.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.voceabasarabiei.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.vspmr.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.winrock.org.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.worldwindow.md,HUMR,Human rights,2014-04-15,citizenlab,
http://www.yellowpages.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.ziare.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.zumzi.md/search,DATE,Dating,2014-04-15,citizenlab,
http://zaycev.net,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
https://www.orangetext.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
